Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,treatment,uniqueID
14,orange,Ferris,7.651,,,2017-10-04,2017-09-24,3,Haw,6262,9:18:02,1.145565,4.436,,7:33:29,0.6310273,,,,
15,orange,Ferris,10.703,,,2017-10-04,2017-09-24,3,Haw,6262,9:19:28,0.1904047,9.874,,7:34:56,0.1264223,,,,
16,orange,Ferris,12.131,,,2017-10-04,2017-09-24,3,Haw,6262,9:20:39,2.184993,9.956,,7:36:09,1.742726,,,,
17,orange,Ferris,10.838,,,2017-10-04,2017-09-24,3,Haw,6262,9:22:14,0.1403304,10.331,,7:37:37,0.1400234,,,,
18,orange,Ferris,8.269,,,2017-10-04,2017-09-24,3,Haw,6262,9:23:45,0.2353697,7.713,,7:39:02,0.1227942,,,,
19,orange,Ferris,11.43,,,2017-10-04,2017-09-24,3,Haw,6262,9:25:02,0.3088377,10.759,,7:40:19,0.1901194,,,,
20,orange,Ferris,6.214,,,2017-10-04,2017-09-24,3,Haw,6262,9:26:40,1.325457,,,7:41:42,0.1217192,,smashed,,
21,orange,Ferris,7.421,,,2017-10-04,2017-09-24,3,Haw,6262,9:28:05,0.1777771,7.053,,7:43:13,2.78E-02,,,,
22,orange,Ferris,12.308,,,2017-10-04,2017-09-24,3,Haw,6262,9:29:18,2.79E-02,11.448,,7:44:23,1.722545,,,,
23,orange,Ferris,10.963,,,2017-10-04,2017-09-24,3,Haw,6262,9:30:48,2.369902,7.371,,7:45:48,1.827412,,,,
24,orange,Ferris,13.761,,,2017-10-04,2017-09-24,3,Haw,6262,9:32:28,2.632204,9.713,,7:47:17,0.1556738,,,,
25,orange,Ferris,4.665,,,2017-10-04,2017-09-24,3,Haw,6262,9:34:04,0.4025218,3.972,,7:48:28,2.49E-02,,,,
26,orange,Ferris,7.378,,,2017-10-04,2017-09-24,3,Haw,6262,9:35:32,0.5515164,,,7:49:37,2.35E-02,,dead,,
27,orange,Ferris,,,,2017-10-04,2017-09-24,3,Haw,6262,9:36:57,2.39E-02,,,7:50:43,1.71E-03,,,,
28,orange,Ferris,,11:52,,2017-10-04,2017-09-24,3,Haw,6262,9:38:20,2.25E-02,,10:41,7:51:38,1.25E-03,,,,
1,white,Ferris,8.786,14:42,,2017-10-05,2017-09-25,4,Haw,7000,24:11:43,1.089783,7.096,11:34,9:50:31,0.2979717,,,,
2,white,Ferris,7.664,,,2017-10-05,2017-09-25,4,Haw,7000,24:13:29,0.1054478,7.126,,9:52:47,7.50E-02,,,,
3,white,Ferris,10.573,,,2017-10-05,2017-09-25,4,Haw,7000,24:15:00,0.1443206,9.933,,9:54:21,0.1039388,,,,
4,white,Ferris,8.277,,,2017-10-05,2017-09-25,4,Haw,7000,24:16:15,0.1263794,7.709,,9:55:55,0.0640536,,,,
5,white,Ferris,5.208,,,2017-10-05,2017-09-25,4,Haw,7000,24:17:44,0.6061329,4.302,,9:57:26,0.5040594,,,,
6,white,Ferris,5.176,,,2017-10-05,2017-09-25,4,Haw,7000,24:19:14,0.5236538,4.794,,9:58:47,0.5292643,,,,
7,white,Ferris,9.346,,,2017-10-05,2017-09-25,4,Haw,7000,,,8.527,,10:00:17,7.90E-02,,,,
8,white,Ferris,4.188,,,2017-10-05,2017-09-25,4,Haw,7000,24:22:13,0.4748264,3.371,,10:02:07,1.406667,,,,h4w8
9,white,Ferris,10.725,,,2017-10-05,2017-09-25,4,Haw,7000,24:24:05,0.0819971,9.987,,10:03:43,7.57E-02,,,,
10,white,Ferris,8.846,,,2017-10-05,2017-09-25,4,Haw,7000,24:25:39,0.1023522,8.186,,10:05:14,0.1219882,,dirty syringe,,
11,white,Ferris,5.663,,,2017-10-05,2017-09-25,4,Haw,7000,24:27:27,0.8106879,4.181,,10:06:42,0.5637302,,,,
12,white,Ferris,8.357,,,2017-10-05,2017-09-25,4,Haw,7000,24:28:59,0.529234,7.686,,10:08:20,0.5487129,,,,
13,white,Ferris,9.103,,,2017-10-05,2017-09-25,4,Haw,7000,24:30:39,0.1295896,8.404,,10:09:50,8.43E-02,,,,
14,white,Ferris,7.367,,,2017-10-05,2017-09-25,4,Haw,7000,24:32:01,0.104281,7.01,,10:11:10,7.32E-02,,,,
15,white,Ferris,10.986,,,2017-10-05,2017-09-25,4,Haw,7000,24:33:24,0.0755858,10.201,,10:12:37,9.92E-02,,,,
16,white,Ferris,7.917,,,2017-10-05,2017-09-25,4,Haw,7000,24:34:54,5.34E-02,7.326,,10:14:12,5.57E-02,,,,
17,white,Ferris,5.87,,,2017-10-05,2017-09-25,4,Haw,7000,24:36:25,9.36E-02,5.561,,10:15:32,0.0409452,,,,
18,white,Ferris,8.766,,,2017-10-05,2017-09-25,4,Haw,7000,24:37:44,0.1007284,8.099,,10:16:55,6.97E-02,,,,
19,white,Ferris,10.251,,,2017-10-05,2017-09-25,4,Haw,7000,24:39:07,0.1214513,9.597,,10:18:15,7.04E-02,,,,
20,white,Ferris,5.11,,,2017-10-05,2017-09-25,4,Haw,7000,24:40:38,0.2342609,4.368,,10:19:43,0.1004261,,,,
21,white,Ferris,12.022,,,2017-10-05,2017-09-25,4,Haw,7000,24:42:00,0.1164326,11.118,,10:21:45,0.1322603,,,,
22,white,Ferris,5.312,,,2017-10-05,2017-09-25,4,Haw,7000,24:43:24,0.8351452,4.259,,10:23:01,0.8773822,,,,
23,white,Ferris,4.347,,,2017-10-05,2017-09-25,4,Haw,7000,24:44:48,0.6399549,3.568,,10:24:33,0.6860359,,,,
24,white,Ferris,7.438,,,2017-10-05,2017-09-25,4,Haw,7000,24:46:17,9.28E-02,6.703,,10:25:54,5.88E-02,,,,
25,white,Blank,,,,2017-10-05,2017-09-25,4,Haw,7000,24:47:55,1.10E-02,,,10:27:16,1.16E-02,,,,
26,white,Blank,,14:53,,2017-10-05,2017-09-25,4,Haw,7000,24:49:35,1.09E-02,,11:43,10:28:20,1.10E-02,,,,
1,orange,Ferris,5.772,14:53,,2017-10-05,2017-09-25,4,Haw,6262,24:11:43,0.7970409,5.488,11:44,9:50:31,0.9532103,,,,
2,orange,Ferris,11.734,,,2017-10-05,2017-09-25,4,Haw,6262,24:13:29,1.526832,10.625,,9:52:47,1.575091,,,,
3,orange,Ferris,7.285,,,2017-10-05,2017-09-25,4,Haw,6262,24:15:00,0.1374362,6.84,,9:54:21,0.1465911,,,,
4,orange,Ferris,4.791,,,2017-10-05,2017-09-25,4,Haw,6262,24:16:15,1.347847,3.806,,9:55:55,1.420677,,,,
5,orange,Ferris,12.79,,,2017-10-05,2017-09-25,4,Haw,6262,24:17:44,0.2503236,11.774,,9:57:26,0.2717667,,,,
6,orange,Ferris,7.705,,,2017-10-05,2017-09-25,4,Haw,6262,24:19:14,0.1229973,7.25,,9:58:47,0.2936441,,,,
7,orange,Ferris,11.984,,,2017-10-05,2017-09-25,4,Haw,6262,,,11.093,,10:00:17,2.026775,,7 double markers,,
8,orange,Ferris,7.765,,,2017-10-05,2017-09-25,4,Haw,6262,24:22:13,0.1667174,,,,,,dead,,
9,orange,Ferris,8.637,,,2017-10-05,2017-09-25,4,Haw,6262,24:24:05,1.381015,7.956,,10:02:07,1.406667,,,,
10,orange,Ferris,6.4,,,2017-10-05,2017-09-25,4,Haw,6262,24:25:39,1.659547,5.065,,10:03:43,1.675457,,,,
11,orange,Ferris,8.865,,,2017-10-05,2017-09-25,4,Haw,6262,24:27:27,1.113622,8.1,,10:05:14,1.14602,,,,
12,orange,Ferris,10.105,,,2017-10-05,2017-09-25,4,Haw,6262,24:28:59,1.842402,8.433,,10:06:42,1.66071,,,,
13,orange,Ferris,9.015,,,2017-10-05,2017-09-25,4,Haw,6262,24:30:39,0.1892692,8.448,,10:08:20,0.1563303,,,,
14,orange,Ferris,12.52,,,2017-10-05,2017-09-25,4,Haw,6262,24:32:01,0.1909556,11.631,,10:09:50,0.1576022,,,,
