Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,notes,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2
32,red,OG,8.97,13:20,2017-09-04,2017-08-25,2,Apple,7000,10:59:41,0.8244834,8.156,,10:57:20,0.7669558,,,2r32,,,,,,,,,
33,red,Ferris,9.876,13:19,2017-09-04,2017-08-25,2,Apple,7000,11:01:17,0.7690679,8.927,,10:58:57,0.7240927,,,2r33,2017-09-26,32,B10,fly,23,16:08,,,
34,red,OG,7.887,13:06,2017-09-04,2017-08-25,2,Apple,7000,11:02:43,0.1225375,7.234,,11:00:29,0.1596853,,,2r34,,,,,,,,,
35,red,Ferris,10.409,13:23,2017-09-04,2017-08-25,2,Apple,7000,11:04:01,0.185331,9.479,,11:02:02,8.44E-02,,,2r35,,,,,,,,,
36,red,Ferris,10.176,13:23,2017-09-04,2017-08-25,2,Apple,7000,11:05:17,0.121804,8.926,,11:03:27,7.96E-02,,,2r36,,,,,,,,,
37,red,OG,7.945,12:55,2017-09-04,2017-08-25,2,Apple,7000,11:06:44,0.2059923,6.056,,11:04:48,0.2847212,,,2r37,,,,,,,,,
38,red,OG,8.005,12:58,2017-09-04,2017-08-25,2,Apple,7000,11:08:06,0.8512057,7.31,,11:06:33,0.8123094,,,2r38,2017-09-26,32,B12,fly,27,16:08,,,
39,red,Ferris,6.755,13:24,2017-09-04,2017-08-25,2,Apple,7000,11:09:27,0.124314,6.226,,11:08:19,0.224742,,,2r39,,,,,,,,,
40,red,OG,7.602,12:58,2017-09-04,2017-08-25,2,Apple,7000,11:11:09,0.1557878,7.077,,11:10:19,0.1253869,,,2r40,,,,,,,,,
41,red,Ferris,10.521,13:24,2017-09-04,2017-08-25,2,Apple,7000,11:12:28,0.167069,9.638,,11:12:00,8.28E-02,,,2r41,,,,,,,,,
45,red,Blank,,13:03,2017-09-04,2017-08-25,2,Apple,7000,11:13:50,1.26E-02,,,11:13:23,1.05E-02,,,2r45,,,,,,,,,
47,red,OG,8.376,12:56,2017-09-04,2017-08-25,2,Apple,7000,11:15:31,0.2296043,,,,,,"smashed, removed",2r47,,,,,,,,,
48,red,Ferris,7.7797,13:25,2017-09-04,2017-08-25,2,Apple,7000,11:17:08,7.39E-02,7.117,,11:15:21,7.49E-02,,,2r48,,,,,,,,,
50,red,Blank,,13:03,2017-09-04,2017-08-25,2,Apple,7000,11:18:48,1.06E-02,,11:56,11:17:22,9.47E-03,,,2r50,,,,,,,,,
1,orange,Milford,8.233,17:37,2017-09-05,2017-08-26,3,Haw,7000,9:14:01,6.78E-02,7.608,14:31,7:49:59,3.42E-02,,,3o1,,,,,,,,,
2,orange,Coll Hall,4.662,17:37,2017-09-05,2017-08-26,3,Haw,7000,9:15:39,4.15E-02,4.296,,7:51:36,3.45E-02,,,3o2,,,,,,,,,
3,orange,Coll Hall,8.255,17:36,2017-09-05,2017-08-26,3,Haw,7000,9:16:56,0.5121543,7.549,,7:53:10,0.483076,,,3o3,,,,,,,,,
4,orange,Grant,8.192,17:36,2017-09-05,2017-08-26,3,Apple,7000,9:18:20,0.3606795,4.187,,7:54:52,0.2802091,,"looks unhealthy, large weight decrease",3o4,,,,,,,,,
5,orange,Grant,5.664,17:36,2017-09-05,2017-08-26,3,Apple,7000,9:19:52,9.74E-02,4.927,,7:56:39,5.15E-02,,,3o5,,,,,,,,,
6,orange,Grant,10.106,17:35,2017-09-05,2017-08-26,3,Apple,7000,9:21:10,1.31751,7.324,,7:58:23,0.787016,,"looks unhealthy, large weight decrease",3o6,2017-09-26,31,A3,wasp,17,16:08,,,
7,orange,Grant,5.501,17:35,2017-09-05,2017-08-26,3,Apple,7000,9:22:45,9.36E-02,4.757,,8:00:42,5.40E-02,,,3o7,,,,,,,,,
8,orange,Grant,7.125,17:35,2017-09-05,2017-08-26,3,Apple,7000,9:24:05,0.1362285,6.408,,8:02:05,5.63E-02,,,3o8,,,,,,,,,
