Host,Sample,N,tape,licor,cohort_day,cohort_date,day_weight,day_resp,weight,Respiration,Respiration_time,Purge_time
Apple,e,7,red,7000,18,9/3/18,19,20,6.566,5.82E-02,11:16:37,
Apple,e,8,red,7000,18,9/3/18,19,20,3.33,7.41E-02,11:17:59,
Apple,e,9,red,7000,18,9/3/18,19,20,5.286,0.7130429,11:19:23,
Apple,e,10,red,7000,18,9/3/18,19,20,6.093,9.40E-02,11:21:05,
Apple,e,11,red,7000,18,9/3/18,19,20,4.824,5.76E-02,11:22:50,
Apple,e,12,red,7000,18,9/3/18,19,20,4.551,5.67E-02,11:24:29,
Apple,e,13,red,7000,18,9/3/18,19,20,5.312,0.7537764,11:25:41,
Apple,e,14,red,7000,18,9/3/18,19,20,9.567,6.32E-02,11:27:21,
Apple,e,15,red,7000,18,9/3/18,19,20,7.059,0.0627131,11:28:59,
Apple,b,16,red,7000,18,9/3/18,19,20,,7.39E-03,11:30:10,
Apple,b,17,red,7000,18,9/3/18,19,20,,7.20E-03,11:31:16,10:54
Apple,e,1,orange,6262,18,9/3/18,19,20,7.93,1.60E-02,11:06:43,10:54
Apple,e,2,orange,6262,18,9/3/18,19,20,4.523,1.25E-02,11:08:05,
Apple,e,3,orange,6262,18,9/3/18,19,20,5.46,0.92971,11:09:42,
Apple,e,4,orange,6262,18,9/3/18,19,20,3.965,0.7006398,11:11:19,
Apple,e,5,orange,6262,18,9/3/18,19,20,5.804,5.66E-02,11:13:26,
Apple,e,6,orange,6262,18,9/3/18,19,20,4.546,8.62E-02,11:15:11,
Apple,e,7,orange,6262,18,9/3/18,19,20,5.602,7.03E-02,11:16:37,
Apple,e,8,orange,6262,18,9/3/18,19,20,6.012,4.62E-02,11:17:59,
Apple,e,9,orange,6262,18,9/3/18,19,20,3.84,0.6017168,11:19:23,
Apple,e,10,orange,6262,18,9/3/18,19,20,4.997,1.262175,11:21:05,
Apple,e,11,orange,6262,18,9/3/18,19,20,5.51,0.8584759,11:22:50,
Apple,e,12,orange,6262,18,9/3/18,19,20,2.768,4.87E-02,11:24:29,
Apple,e,13,orange,6262,18,9/3/18,19,20,5.729,6.46E-02,11:25:41,
Apple,e,14,orange,6262,18,9/3/18,19,20,2.272,0.8055525,11:27:21,
Apple,e,15,orange,6262,18,9/3/18,19,20,3.505,6.40E-02,11:28:59,
Apple,b,16,orange,6262,18,9/3/18,19,20,,-4.31E-03,11:30:10,
Apple,b,17,orange,6262,18,9/3/18,19,20,,-1.24E-02,11:31:16,10:58
Apple,e,1,red,7000,5,9/4/18,19,20,5.524,1.99E-03,10:09:48,12:29
Apple,e,2,red,7000,5,9/4/18,19,20,10.588,5.60E-02,10:10:33,
Apple,e,3,red,7000,5,9/4/18,19,20,5.778,0.3188313,10:12:24,
Apple,e,4,red,7000,5,9/4/18,19,20,9.784,0.8637187,10:13:54,
Apple,e,5,red,7000,5,9/4/18,19,20,4.821,0.5443773,10:15:53,
Apple,e,6,red,7000,5,9/4/18,19,20,8.286,0.8460329,10:17:31,
Apple,e,7,red,7000,5,9/4/18,19,20,6.823,5.64E-02,10:19:10,
Apple,e,8,red,7000,5,9/4/18,19,20,5.401,0.7194315,10:20:33,
Apple,e,9,red,7000,5,9/4/18,19,20,4.138,4.84E-02,10:21:48,
Apple,e,10,red,7000,5,9/4/18,19,20,7.325,0.0719026,10:23:14,
Apple,e,11,red,7000,5,9/4/18,19,20,7.098,0.803327,10:24:48,
Apple,e,12,red,7000,5,9/4/18,19,20,5.36,8.28E-02,10:26:31,
Apple,e,13,red,7000,5,9/4/18,19,20,6.077,0.6901214,10:28:07,
Apple,e,14,red,7000,5,9/4/18,19,20,7.216,8.15E-02,10:29:46,
Apple,e,15,red,7000,5,9/4/18,19,20,4.811,0.2995013,10:30:59,
Apple,e,16,red,7000,5,9/4/18,19,20,6.517,6.32E-02,10:32:20,
Apple,e,17,red,7000,5,9/4/18,19,20,6.762,0.3728664,10:33:47,
Apple,e,18,red,7000,5,9/4/18,19,20,7.555,6.54E-02,10:34:59,
Apple,e,19,red,7000,5,9/4/18,19,20,5.19,0.1310523,10:36:29,
Apple,b,20,red,7000,5,9/4/18,19,20,,5.01E-03,10:37:54,
Apple,b,21,red,7000,5,9/4/18,19,20,,5.41E-03,10:38:49,12:34
Apple,e,1,orange,6262,5,9/4/18,19,20,6.658,1.34E-03,10:09:48,12:34
Apple,e,2,orange,6262,5,9/4/18,19,20,7.3,1.193231,10:10:33,
Apple,e,3,orange,6262,5,9/4/18,19,20,5.144,5.91E-02,10:12:24,
Apple,e,4,orange,6262,5,9/4/18,19,20,4.813,0.9053795,10:13:54,
Apple,e,5,orange,6262,5,9/4/18,19,20,5.669,0.1543816,10:15:53,
Apple,e,6,orange,6262,5,9/4/18,19,20,4.967,0.9160929,10:17:31,
Apple,e,7,orange,6262,5,9/4/18,19,20,6.827,7.77E-02,10:19:10,
Apple,e,8,orange,6262,5,9/4/18,19,20,5.961,6.58E-02,10:20:33,
Apple,e,9,orange,6262,5,9/4/18,19,20,4.763,0.0169585,10:21:48,
Apple,e,10,orange,6262,5,9/4/18,19,20,5.322,1.073764,10:23:14,
Apple,e,11,orange,6262,5,9/4/18,19,20,4.197,0.90915,10:24:48,
Apple,e,12,orange,6262,5,9/4/18,19,20,5.802,0.9645984,10:26:31,
Apple,e,13,orange,6262,5,9/4/18,19,20,5.487,0.8513682,10:28:07,
