uniqueID,eclosion_date,trik_cohort,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,cohort day,host,cohort date
18b4,10/29/2017,26,49,F2,fly,21,2,9:36,,,,,,,,,,,,,
h10b4,10/30/2017,27,31,A1,fly,26,2,10:42,,,,,,,,,,,,,
4o37,10/31/2017,28,60,C3,fly,31,2,10:40,,,,,,,,,,,,,
4o61,10/31/2017,28,59,D9,fly,28,1,10:41,,,changed water 217-10-31 11:11 ,,,,,,,,,,
h8w4,10/31/2017,28,32,F2,fly,12,1,10:39,,,,,,,,,,,,,
h8o14,10/31/2017,28,32,G8,fly,6,1,10:40,,,changed water 2017-10-31 11:13-11:15 ,,,,,,,,,,
5w64,1/17/2011,29,65,B12,fly,1,1,,5/17/2011,,,,,,,,,,,,
10w33,1/17/2011,29,61,B5,fly,24,2,,,,,,,,,,,,,,
10o38,1/17/2011,29,61,E3,fly,19,2,,,,,,,,,,,,,,
10o75,1/17/2011,29,61,F3,fly,30,2,,,,,,,,,,,,,,
12b32,1/17/2011,29,58,B8,fly,21,1,,,,,,,,,,,,,,
18b26,1/17/2011,29,52,C5,fly,17,1,,4/17/2011,,,,,,,,,,,,
h8o5,1/17/2011,29,34,E1,fly,27,2,,,,,,,,,,,,,,
h8o12,1/17/2011,29,34,C10,fly,19,1,,,,,,,,,,,,,,
4w30,2/17/2011,30,68,B9,fly,23,2,,,,,,,,,,,,,,
10w34,2/17/2011,30,62,B6,fly,4,1,,,,,,,,,,,,,,
10o62,2/17/2011,30,61,E11,fly,31,1,,6/17/2011,,,,,,,,,,,,
14b18,2/17/2011,30,57,B5,fly,10,1,,9/17/2011,,,,,,,,,,,,
h8w6,2/17/2011,30,34,D12,fly,28,2,,,,,,,,,,,,,,
2r48,3/17/2011,31,70,C3,fly,2,2,,,,,,,,,,,,,,
5w30,3/17/2011,31,67,B1,fly,4,2,,,,,,,,,,,,,,
5w75,3/17/2011,31,67,C6,fly,7,2,,4/17/2011,,,,,,,,,,,,
h4w10,3/17/2011,31,70,A7,fly,9,2,,,,,,,,,,,,,,
4w76,4/17/2011,32,69,E6,fly,26,1,,,,,,,,,,,,,,
5w53,4/17/2011,32,68,B7,fly,32,2,,,,,,,,,,,,,,
10w56,4/17/2011,32,63,C1,fly,1,1,,,,,,,,,,,,,,
14r14,5/17/2011,33,60,B2,fly,3,1,,,,,,,,,,,,,,
19r7,5/17/2011,33,55,D4,fly,3,2,,6/17/2011,,,,,,,,,,,,
4o25,6/17/2011,34,71,B6,fly,3,2,,,,,,,,,,,,,,
4w27,6/17/2011,34,71,B7,fly,5,2,,,,,,,,,,,,,,
12w43,7/17/2011,35,65,C1,fly,25,2,,,,,,,,,,,,,,
16w1,7/17/2011,35,62,H7,fly,15,1,,,,,,,,,,,,,,
3o40,9/17/2011,36,75,B9,fly,2,1,,,,,,,,,,,,,,
5w57,9/17/2011,36,73,B9,fly,24,1,,,,,,,,,,,,,,
11w25,9/17/2011,36,68,A5,fly,7,2,,,,,,,,,,,,,,
16o15,9/17/2011,36,62,H12,fly,30,1,,,,,,,,,,,,,,
16o31,9/17/2011,36,62,G2,fly,11,2,,,,,,,,,,,,,,
16w7,9/17/2011,36,62,B2,fly,17,1,,,,,,,,,,,,,,
11o24,9/17/2011,36,67,B11,fly,14,1,,,,,,,,,,,,,,
11o3,10/17/2011,37,68,B6,fly,12,2,10:58,11/14/2017,10:15,cotton dry ,,,,,,,,,,
14r56,10/17/2011,37,65,D11,fly,10,2,10:58,,,,,,,,,,,,,
5b14,11/17/2011,38,75,D1,fly,20,1,10:09,11/15/2017,9:47,cotton dry ,,,,,,,,,,
10o52,11/17/2011,38,70,E8,fly,10,1,10:09,,,changed water: 2017-11-15 10:17,,,,,,,,,,
skipped cohort,11/17/2011,38,73,G6,fly,22,2,10:11,,,,,,,,,,,8,Apple,8/31/2017
skipped cohort,11/17/2011,38,72,B5,fly,8,1,10:12,11/13/2017,11:03,,,,,,,,,9,Apple,1/17/2009
12b53,12/17/2011,39,69,C8,fly,2,2,12:57,11/15/2017,9:50,,,,,,,,,,,
13r28,12/17/2011,39,68,B4,fly,4,2,12:57,,,,,,,,,,,,,
18b28,11/13/2017,39,64,E11,fly,14,2,11:08,,,,,,,,,,,,,
h8o2,11/13/2017,39,45,B10,fly,6,2,11:08,11/16/2017,10:07,changed water: 2017-11-15 10:19; stuck on food ,,,,,,,,,,
skipped cohort,11/13/2017,39,75,E7,fly,18,2,11:08,,,,,,,,,,,7,Apple,8/30/2017
skipped cohort,11/13/2017,39,74,C2,fly,9,2,11:08,,,,,,,,,,,9,Apple,1/17/2009
11o38,11/14/2017,40,72,C5,fly,1,1,10:11,,,changed water 2017-11-16 10:18,,,,,,,,,,
18w9,11/14/2017,40,65,A10,fly,7,1,10:11,,,,,,,,,,,,,
h5o3,11/14/2017,40,34,D8,fly,29,2,10:12,,,,,,,,,,,,,
13o42,11/15/2017,41,71,C3,fly,27,1,9:46,,,,,,,,,,,,,
16w5,11/15/2017,41,70,G5,fly,4,1,9:46,,,,,,,,,,,,,
14r12,11/16/2017,42,71,B1,fly,32,2,10:00,,,,,,,,,,,,,
h10r4,11/16/2017,42,47,G8,fly,27,2,10:01,,,,,,,,,,,,,
skipped cohort,11/16/2017,42,55,C4,fly,20,2,10:00,,,,,,,,,,,1,Haw,9/22/2017
skipped cohort,11/16/2017,42,78,E5,fly,12,1,10:01,,,,,,,,,,,8,Apple ,8/31/2017
skipped cohort,11/16/2017,42,77,A11,fly,8,1,10:01,,,,,,,,,,,9,Apple,1/17/2009
3w20,11/19/2017,43,75,A12,fly,23,1,9:40,,,,,,,,,,,,,
11w10,11/19/2017,43,78,A2,fly,10,1,9:40,,,,,,,,,,,,,
18b14,11/20/2017,44,71,G5,fly,5,2,13:24,,,,,,,,,,,,,
h8o16,11/20/2017,44,52,A7,wasp,12,2,13:24,,,,,,,,,,,,,
h9w4,11/20/2017,44,51,E12,wasp,30,1,13:25,,,,,,,,,,,,,
14b44,11/21/2017,45,79,D2,fly,3,2,12:04,,,,,,,,,,,,,
18w17,11/22/2017,46,72,E2,fly,4,2,14:34,,,,,,,,,,,,,
12w4,11/26/2017,,84,A5,fly,25,2,12:32,11/28/2017,9:33,"stuck on food, 2017-11-27: disturbed to check for death 10:12",,,,,,,,,,
14b39,11/26/2017,,84,C9,fly,27,2,12:32,,,2017-11-30 changed water,,,,,,,,,,
h9o4,11/26/2017,,57,A2,fly,30,2,12:32,,,2017-11-30 changed water,,,,,,,,,,
12b70,11/27/2017,,84,D5,fly,6,2,11:20,,,,,,,,,,,,,
4w37,11/28/2017,,90,B12,fly,1,1,9:30,,,,,,,,,,,,,
h2r29,11/29/2017,,68,D5,fly,8,1,10:02,,,disturbed to correct tape 2017-11-29 10:35 ,,,,,,,,,,
h4w2,11/29/2017,,66,G1,fly,19,1,10:03,,,disturbed to correct tape 2017-11-29 10:35 ,,,,,,,,,,
3o19,11/30/2017,,96,,,,,,,,eclosed but dead 2017-11-30,,,,,,,,,,
14b30,1/17/2012,,90,C1,fly,3,2,10:36,,,,,,,,,,,,,
h2b1,2/17/2012,,71,H9,fly,31,2,9:59,,,changed water 2017-12-04 10:42,,,,,,,,,,
h5o21,2/17/2012,,67,F2,fly,32,2,9:59,,,changed water 2017-12-05 9:41 ,,,,,,,,,,
h4o17,3/17/2012,,100,E10,wasp,11,1,9:26,,,,,,,,,,,,,
h11w8,4/17/2012,,64,D2,fly,3,2,10:38,,,,,,,,,,,,,
h3w4,9/17/2012,,76,C10,fly,14,2,19:58,,,,,,,,,,,,,
h8o13,9/17/2012,,62,A4,fly,20,2,19:58,,,,,,,,,,,,,
14b29,10/17/2012,,99,B11,fly,26,2,18:22,,,,,,,,,,,,,
h5r9,12/17/2012,,77,B12,fly,27,2,17:05,,,,,,,,,,,,,
h5o18,12/13/2017,,78,H4,fly,26,2,13:35,,,,,,,,,,,,,
h6b24,12/17/2017,,66,D8,fly,32,2,14:21,,,,,,,,,,,,,
18b23,12/18/2017,,111,H3,fly,30,2,13:56,,,,,,,,,,,,,
h2b32,12/18/2017,,83,B6,fly,11,2,13:56,,,,,,,,,,,,,
5b1,11/18/2002,,,B8,fly ,24,1,18:59,,,,,,,,,,,,,
5w26,2/13/2018,,19,A9,fly,26,1,13:56,,,,,,,,,,,,,
h4o13,2/26/2018,,154,D10,fly,31,2,13:23,,,,,,,,,,,,,
