"","Ind_ID","tape","Site_name","mass_day10","purge_time","day10","cohort_date","cohort_day","Host","X","X.1","rando_assign","uniqueID"
"100",25,"blue","Ferris",6.847,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b25"
"101",26,"blue","Grant",9.98,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b26"
"102",27,"blue","Ferris",8.612,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b27"
"103",28,"blue","Ferris",9.104,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b28"
"104",29,"blue","Grant",6.96,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b29"
"105",30,"blue","Ferris",9.863,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b30"
"106",31,"blue","Ferris",6.26,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b31"
"107",32,"blue","Grant",5.889,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b32"
"108",33,"blue","Ferris",9.825,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b33"
"109",34,"blue","Grant",6.398,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b34"
"110",35,"blue","Ferris",9.712,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b35"
"111",36,"blue","Grant",6.839,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b36"
"112",37,"blue","Ferris",7.819,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b37"
"113",38,"blue","Ferris",10.496,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b38"
"114",39,"blue","Grant",8.701,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b39"
"115",40,"blue","Ferris",9.094,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b40"
"116",41,"blue","Grant",8.921,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b41"
"117",42,"blue","Ferris",9.931,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b42"
"118",43,"blue","Ferris",8.648,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b43"
"119",44,"blue","Grant",5.831,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b44"
"120",45,"blue","Ferris",10.669,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b45"
"121",46,"blue","Grant",6.037,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"Simulated Overwintering","5b46"
"122",47,"blue","Ferris",10.565,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"genetic control","5b47"
"123",48,"blue","Ferris",5.843,"","2017-08-07","2017-08-28",5,"Apple",NA,NA,"RT eclosion","5b48"
