"","read_day","trik_ID","bins","counts","light_status"
"687",1,"t16","02:00",0,0
"688",1,"t16","02:15",0,0
"689",1,"t16","02:30",0,0
"690",1,"t16","02:45",0,0
"691",1,"t16","03:00",0,0
"692",1,"t16","03:15",0,0
"693",1,"t16","03:30",0,0
"694",1,"t16","03:45",0,0
"695",1,"t16","04:00",0,0
"696",1,"t16","04:15",0,0
"697",1,"t16","04:30",0,0
"698",1,"t16","04:45",0,0
"699",1,"t16","05:00",0,0
"700",1,"t16","05:15",0,0
"701",1,"t16","05:30",0,0
"702",1,"t16","05:45",0,0
"703",1,"t16","06:00",0,0
"704",1,"t16","06:15",0,0.933333333333333
"705",1,"t16","06:30",0,1
"706",1,"t16","06:45",0,1
"707",1,"t16","07:00",0,1
"708",1,"t16","07:15",0,1
"709",1,"t16","07:30",0,1
"710",1,"t16","07:45",0,1
"711",1,"t16","08:00",0,1
"712",1,"t16","08:15",0,1
"713",1,"t16","08:30",0,1
"714",1,"t16","08:45",0,1
"715",1,"t16","09:00",0,1
"716",1,"t16","09:15",0,1
"717",1,"t16","09:30",0,1
"718",1,"t16","09:45",0,1
"719",1,"t16","10:00",0,1
"720",1,"t16","10:15",0,1
"721",1,"t16","10:30",0,1
"722",1,"t16","10:45",0,1
"723",1,"t16","11:00",0,1
"724",1,"t16","11:15",0,1
"725",1,"t16","11:30",0,1
"726",1,"t16","11:45",0,1
"727",1,"t16","12:00",0,1
"728",1,"t16","12:15",0,1
"729",1,"t16","12:30",0,1
"730",1,"t16","12:45",0,1
"731",1,"t16","13:00",0,1
"732",1,"t16","13:15",0,1
"733",1,"t16","13:30",0,1
"734",1,"t16","13:45",0,1
"735",1,"t16","14:00",0,1
"736",1,"t16","14:15",0,1
"737",1,"t16","14:30",0,1
"738",1,"t16","14:45",0,1
"739",1,"t16","15:00",0,1
"740",1,"t16","15:15",0,1
"741",1,"t16","15:30",0,1
"742",1,"t16","15:45",0,1
"743",1,"t16","16:00",0,1
"744",1,"t16","16:15",0,1
"745",1,"t16","16:30",0,1
"746",1,"t16","16:45",0,1
"747",1,"t16","17:00",0,1
"748",1,"t16","17:15",0,1
"749",1,"t16","17:30",0,1
"750",1,"t16","17:45",0,1
"751",1,"t16","18:00",0,1
"752",1,"t16","18:15",0,1
"753",1,"t16","18:30",0,1
"754",1,"t16","18:45",0,1
"755",1,"t16","19:00",0,1
"756",1,"t16","19:15",0,1
"757",1,"t16","19:30",0,1
"758",1,"t16","19:45",0,1
"759",1,"t16","20:00",0,0.933333333333333
"760",1,"t16","20:15",0,0
"761",1,"t16","20:30",0,0
"762",1,"t16","20:45",0,0
"763",1,"t16","21:00",0,0
"764",1,"t16","21:15",0,0
"765",1,"t16","21:30",0,0
"766",1,"t16","21:45",0,0
"767",1,"t16","22:00",0,0
"768",1,"t16","22:15",0,0
"769",1,"t16","22:30",0,0
"770",1,"t16","22:45",0,0
"771",1,"t16","23:00",0,0
"772",1,"t16","23:15",0,0
"773",1,"t16","23:30",0,0
"774",1,"t16","23:45",0,0
"775",1,"t16","24:00",0,0
"776",1,"t16",NA,0,0
"777",1,"t17","00:15",0,0
"778",1,"t17","00:30",0,0
"779",1,"t17","00:45",0,0
"780",1,"t17","01:00",0,0
"781",1,"t17","01:15",0,0
"782",1,"t17","01:30",0,0
"783",1,"t17","01:45",0,0
"784",1,"t17","02:00",0,0
"785",1,"t17","02:15",0,0
"786",1,"t17","02:30",0,0
"787",1,"t17","02:45",0,0
"788",1,"t17","03:00",0,0
"789",1,"t17","03:15",0,0
"790",1,"t17","03:30",0,0
"791",1,"t17","03:45",0,0
"792",1,"t17","04:00",0,0
"793",1,"t17","04:15",0,0
"794",1,"t17","04:30",0,0
"795",1,"t17","04:45",0,0
"796",1,"t17","05:00",0,0
"797",1,"t17","05:15",0,0
"798",1,"t17","05:30",0,0
"799",1,"t17","05:45",0,0
"800",1,"t17","06:00",0,0
"801",1,"t17","06:15",13,0.933333333333333
"802",1,"t17","06:30",38,1
"803",1,"t17","06:45",33,1
"804",1,"t17","07:00",38,1
"805",1,"t17","07:15",25,1
"806",1,"t17","07:30",25,1
"807",1,"t17","07:45",21,1
"808",1,"t17","08:00",26,1
"809",1,"t17","08:15",33,1
"810",1,"t17","08:30",25,1
"811",1,"t17","08:45",21,1
"812",1,"t17","09:00",21,1
