uniqueID,experiment,V1,V2,V3,V4
2b23,free run,21.2264150943396,22.0588235294118,17.8571428571429,10.9223300970874
2b3,entrainment,388.8,24.3,22.8705882352941,23.1428571428571
2b3,free run,6.07014388489209,5.81896551724138,6.02678571428571,7.8125
2b30,entrainment,8,6.06060606060606,13.3333333333333,7.69230769230769
2b30,free run,12.0481927710843,8.06451612903226,9.00900900900901,6.99300699300699
2b33,entrainment,11.71875,6.04838709677419,7.8125,5.68181818181818
2b33,free run,140.625,10.2272727272727,8.03571428571429,23.4375
2b35,entrainment,8,6.06060606060606,5.88235294117647,7.14285714285714
2b35,free run,21.1764705882353,20,18.9473684210526,12
2b39,entrainment,8.1,6.13636363636364,5.19230769230769,5.47297297297297
2b39,free run,21.8181818181818,22.6415094339623,10.5263157894737,7.5
2r48,entrainment,8,8.30769230769231,8.64,6
2r48,free run,12.5689655172414,12.7894736842105,13.1351351351351,23.5161290322581
3o14,entrainment,8.1,7.78846153846154,6.53225806451613,8.80434782608696
3o14,free run,23.0113636363636,22.5,7.91015625,12.125748502994
3o41,entrainment,5.40540540540541,5.26315789473684,6.06060606060606,7.40740740740741
3o41,free run,22.5,11.3551401869159,11.25,20.5932203389831
3o49,entrainment,12,11.3684210526316,6.17142857142857,6
3o49,free run,16,13.7142857142857,11.2941176470588,7.68
3o51,entrainment,11.7647058823529,6.06060606060606,5.88235294117647,6.45161290322581
3o51,free run,8.10810810810811,6.06060606060606,6.18556701030928,7.05882352941176
3w15,entrainment,8,8.30769230769231,6,6.75
3w15,free run,21.4285714285714,10.9756097560976,7.6271186440678,7.31707317073171
3w26,entrainment,6.06060606060606,5.26315789473684,10,5.71428571428571
3w26,free run,22.9787234042553,22.5,11.0204081632653,180
3w38,entrainment,8,10,6.06060606060606,5.12820512820513
3w38,free run,23.5102040816327,21.7358490566038,11.8762886597938,5.7029702970297
3w51,entrainment,7.97872340425532,12.5,11.71875,6.04838709677419
3w51,free run,12.0192307692308,7.94491525423729,8.03571428571429,6.0614224137931
3w9,entrainment,12.5,6.06060606060606,5.40540540540541,5.12820512820513
3w9,free run,24.3,20.25,13.1351351351351,7.83870967741936
4o12,entrainment,12,6.17142857142857,7.71428571428571,7.44827586206897
4o12,free run,12,8.03305785123967,6.03726708074534,7.59375
4o21,entrainment,8,8.18181818181818,11.25,15.6521739130435
