read_day,trik_ID,bins,counts,light_status,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_entry_LD_time,trik_cohort,day,time
2,18,15:00,21,1,5w69,9/26/17,32,A7,fly,16:08,1,6,14.75
2,18,15:15,7,1,5w69,9/26/17,32,A7,fly,16:08,1,6,15
2,18,15:30,32,1,5w69,9/26/17,32,A7,fly,16:08,1,6,15.25
2,18,15:45,15,1,5w69,9/26/17,32,A7,fly,16:08,1,6,15.5
2,18,16:00,21,1,5w69,9/26/17,32,A7,fly,16:08,1,6,15.75
2,18,16:15,23,1,5w69,9/26/17,32,A7,fly,16:08,1,6,16
2,18,16:30,26,1,5w69,9/26/17,32,A7,fly,16:08,1,6,16.25
2,18,16:45,14,1,5w69,9/26/17,32,A7,fly,16:08,1,6,16.5
2,18,17:00,19,1,5w69,9/26/17,32,A7,fly,16:08,1,6,16.75
2,18,17:15,30,1,5w69,9/26/17,32,A7,fly,16:08,1,6,17
2,18,17:30,22,1,5w69,9/26/17,32,A7,fly,16:08,1,6,17.25
2,18,17:45,18,1,5w69,9/26/17,32,A7,fly,16:08,1,6,17.5
2,18,18:00,20,1,5w69,9/26/17,32,A7,fly,16:08,1,6,17.75
2,18,18:15,40,1,5w69,9/26/17,32,A7,fly,16:08,1,6,18
2,18,18:30,5,1,5w69,9/26/17,32,A7,fly,16:08,1,6,18.25
2,18,18:45,16,1,5w69,9/26/17,32,A7,fly,16:08,1,6,18.5
2,18,19:00,28,1,5w69,9/26/17,32,A7,fly,16:08,1,6,18.75
2,18,19:15,22,1,5w69,9/26/17,32,A7,fly,16:08,1,6,19
2,18,19:30,34,1,5w69,9/26/17,32,A7,fly,16:08,1,6,19.25
2,18,19:45,14,1,5w69,9/26/17,32,A7,fly,16:08,1,6,19.5
2,18,20:00,52,0.933333333,5w69,9/26/17,32,A7,fly,16:08,1,6,19.75
2,18,20:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,20
2,18,20:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,20.25
2,18,20:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,20.5
2,18,21:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,20.75
2,18,21:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,21
2,18,21:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,21.25
2,18,21:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,21.5
2,18,22:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,21.75
2,18,22:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,22
2,18,22:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,22.25
2,18,22:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,22.5
2,18,23:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,22.75
2,18,23:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,23
2,18,23:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,23.25
2,18,23:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,23.5
2,18,24:00:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,23.75
2,18,NA,0,0,5w69,9/26/17,32,A7,fly,16:08,1,6,24
3,18,0:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,0
3,18,0:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,0.25
3,18,0:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,0.5
3,18,1:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,0.75
3,18,1:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,1
3,18,1:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,1.25
3,18,1:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,1.5
3,18,2:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,1.75
3,18,2:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,2
3,18,2:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,2.25
3,18,2:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,2.5
3,18,3:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,2.75
3,18,3:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,3
3,18,3:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,3.25
3,18,3:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,3.5
3,18,4:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,3.75
3,18,4:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,4
3,18,4:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,4.25
3,18,4:45,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,4.5
3,18,5:00,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,4.75
3,18,5:15,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,5
3,18,5:30,0,0,5w69,9/26/17,32,A7,fly,16:08,1,7,5.25
