Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host,Li-cor_1,resp_time_1,resp_day11,mass_day14,purge_time_2,resp_time_2,resp_day15,Li_cor2,treatment_day15,exit_fridge_date,Eclosion_reference_date,notes,Resp_code,treatment,uniqueID,eclosion_date,eclosion_days,well_id,organism,Trikinetics_position,Trik_monitor,Trikinetics_entry_LD_time,Trikinetic_exit_date,Trikinetics_exit_LD_time,notes_2,Free_run_trik_monitor,Free_run_trik_position,Free_run_entry_date,Free_run_entry_time,Free_run_exit_date,Free_run_exit_time,notes_3,Adult_death_date,Uncaused_death,msmr,dia_class
30,blue,Ferris,6.5,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:52:09,0.4425027,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b30_18,,,E8,,,,,,,,,,,,,,,,,0.068077338,Non-diapause
31,blue,Ferris,8.146,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:53:22,0.0720124,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b31_18,,,B5,,,,,,,,,,,,,,,,,0.008840216,Diapause
32,blue,OG,10.167,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:54:36,0.9406452,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b32_18,,,D11,,,,,,,,,,,,,,,,,0.092519445,Non-diapause
33,blue,OG,11.027,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:55:54,0.0898,,,,,,9/10/2018,,,,,RT eclosion,h11b33_18,,,E1,,,,,,,,,,,,,,,,,0.008143647,Diapause
34,blue,Ferris,5.776,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:56:54,0.0962,,,,,,9/10/2018,,,,,RT eclosion,h11b34_18,,,G8,,,,,,,,,,,,,,,,,0.016655125,Diapause
35,blue,OG,5.847,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,11:58:11,0.0932,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b35_18,,,B3,,,,,,,,,,,,,,,,,0.015939798,Diapause
36,blue,Ferris,6.361,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:20:59,0.0904,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b36_18,,,D1,,,,,,,,,,,,,,,,,0.014211602,Diapause
37,blue,OG,5.777,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:22:15,0.1181727,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b37_18,,,H5,,,,,,,,,,,,,,,,,0.020455721,Diapause
38,blue,Ferris,5.282,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:23:37,0.6802911,,,,,,9/10/2018,,,,,genetic control,h11b38_18,,,,,,,,,,,,,,,,,,,,0.128794226,Non-diapause
39,blue,OG,6.83,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:24:53,0.0942,,,,,,9/10/2018,,,,,RT eclosion,h11b39_18,,,E9,,,,,,,,,,,,,,,,,0.013792094,Diapause
40,blue,OG,7.082,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:26:23,0.0916,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b40_18,,,D3,,,,,,,,,,,,,,,,,0.012934199,Diapause
41,blue,Ferris,8.862,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:27:25,0.9394852,,,,,,9/10/2018,,,,,Simulated Overwintering,h11b41_18,,,E1,,,,,,,,,,,,,,,,,0.106012774,Non-diapause
42,blue,Ferris,3.017,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:28:36,0.1224875,,,,,,9/10/2018,,,,,genetic control,h11b42_18,,,,,,,,,,,,,,,,,,,,0.040599105,Diapause
43,blue,OG,10.318,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:29:54,0.1082694,,,,,,9/10/2018,,,,,genetic control,h11b43_18,,,,,,,,,,,,,,,,,,,,0.010493255,Diapause
44,blue,Ferris,6.198,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:31:00,0.0787,,,,,,9/10/2018,,,,,RT eclosion,h11b44_18,,,G4,,,,,,,,,,,,,,,,,0.012697644,Diapause
45,blue,OG,6.546,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:32:31,0.00265,,,,,,9/10/2018,,,,,genetic control,h11b45_18,,,,,,,,,,,,,,,,,,,,0.000404827,Diapause
46,blue,blank,,,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:33:48,0.00936,,,,,,9/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,blue,blank,,16:49,,8/16/2018,9/5/2018,8/26/2018,11,Apple,7000,12:34:49,0.0114,,,,,,9/10/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
